set_num,set_name,piece_count,real_price,real_ppp,theme_cat,theme_lic
9540-1,Early Maths 4+ Numbers Set,112,99.89,0.89,Junior,FALSE
9542-1,Early Maths 4+ Shape & Space Set,132,93.73,0.71,Junior,FALSE
45544-1,Education EV3 Core Set,541,339.95,0.63,Junior,FALSE
45560-1,Education EV3 Expansion Set,853,99.95,0.12,Junior,FALSE
9648-1,Education Resource Set,672,63.84,0.09,Junior,FALSE
4163-1,Electric Freestyle Set / 6+,349,68.79,0.2,Junior,FALSE
2730-1,Electric Play Train Set,54,137.03,2.54,Junior,FALSE
41062-1,Elsa's Sparkling Ice Castle,292,39.99,0.14,Junior,TRUE
5794-1,Emergency Helicopter,18,25.88,1.44,Junior,FALSE
8324-1,Euripides,10,12.95,1.3,Junior,TRUE
2266-1,Extra Large Value Bucket,91,29.03,0.32,Junior,FALSE
9349-1,Fairytale and Historic Minifigure Set,227,51.77,0.23,Junior,FALSE
3618-1,Family Farm,53,64.75,1.22,Junior,FALSE
2762-1,Family Fun Playground,46,39.19,0.85,Junior,FALSE
2602-1,Family Home,27,26.13,0.97,Junior,FALSE
5639-1,Family House,71,76,1.07,Junior,FALSE
2630-1,Family Room,9,37.46,4.16,Junior,FALSE
2650-1,Farm,60,41.7,0.7,Junior,FALSE
4975-1,Farm,42,56.17,1.34,Junior,FALSE
10522-1,Farm Animals,12,9.99,0.83,Junior,FALSE
2647-1,Farm Animals,17,25.98,1.53,Junior,FALSE
2697-1,Farm Animals,16,23.76,1.48,Junior,FALSE
5645-1,Farm Bike,9,10.67,1.19,Junior,FALSE
5646-1,Farm Nursery,9,12.81,1.42,Junior,FALSE
2696-1,Farm Tractor,10,19.3,1.93,Junior,FALSE
10524-1,Farm Tractor,29,19.99,0.69,Junior,FALSE
3697-1,Fearless Fire Fighter,5,8.86,1.77,Junior,FALSE
5634-1,Feeding Zoo,53,54.28,1.02,Junior,FALSE
4693-1,Ferrari F1 Race Car,5,12.33,2.47,Junior,FALSE
4694-1,Ferrari F1 Racing Team,37,49.33,1.33,Junior,FALSE
2811-1,Fire and Police Station,45,69.92,1.55,Junior,FALSE
10538-1,Fire and Rescue Team,30,29.99,1,Junior,FALSE
4609-1,Fire Attack Team,90,46.04,0.51,Junior,FALSE
2690-1,Fire Chief,6,12.23,2.04,Junior,FALSE
5603-1,Fire Chief,7,9.73,1.39,Junior,FALSE
6169-1,Fire Chief,6,10.14,1.69,Junior,FALSE
4601-1,Fire Cruiser,21,5.26,0.25,Junior,FALSE
10671-1,Fire Emergency,123,19.99,0.16,Junior,FALSE
2637-1,Fire Engine,5,31.79,6.36,Junior,FALSE
2691-1,Fire Engine,12,28.66,2.39,Junior,FALSE
3657-1,Fire Fighters,35,50.65,1.45,Junior,FALSE
4967-1,Fire Helicopter,14,18.48,1.32,Junior,FALSE
3613-1,Fire Rescue,20,23.31,1.17,Junior,FALSE
4605-1,Fire Response SUV,28,13.15,0.47,Junior,FALSE
4657-1,Fire Squad HQ,139,50.65,0.36,Junior,FALSE
4664-1,Fire Station,56,35.78,0.64,Junior,FALSE
2693-1,Fire Station,40,75.67,1.89,Junior,FALSE
5601-1,Fire Station,72,64.91,0.9,Junior,FALSE
2658-1,Fire Station,57,113.66,1.99,Junior,FALSE
4681-1,Fire Truck,18,16.03,0.89,Junior,FALSE
4977-1,Fire Truck,26,33.69,1.3,Junior,FALSE
2940-1,Fire Truck,32,74.72,2.33,Junior,FALSE
2643-1,Fishing Boat,15,55.89,3.73,Junior,FALSE
2046-1,Fishing Fun,5,20.97,4.19,Junior,FALSE
5654-1,Fishing Trip,14,16.01,1.14,Junior,FALSE
10583-1,Fishing Trip,32,24.99,0.78,Junior,FALSE
5815-1,Flo's V-8 Cafe,32,32.04,1,Junior,FALSE
3083-1,Flying Action,9,13.15,1.46,Junior,FALSE
3090-1,Forest Picnic,24,19.73,0.82,Junior,FALSE
4685-1,Fork Lift,10,9.87,0.99,Junior,FALSE
2085-1,Frederick Frog,13,14.51,1.12,Junior,FALSE
4144-1,Freestyle Brick Vac Bus / 4+,141,33.63,0.24,Junior,FALSE
1796-1,Freestyle Bucket,641,29.69,0.05,Junior,FALSE
4133-1,Freestyle Bucket / 3+,135,25.22,0.19,Junior,FALSE
4134-1,Freestyle Bucket / 3+,252,30.57,0.12,Junior,FALSE
4139-1,Freestyle Bucket / 3+,249,33.38,0.13,Junior,FALSE
4146-1,Freestyle Bucket / 4+,410,50.44,0.12,Junior,FALSE
4152-1,Freestyle Bucket / 5+,400,30.57,0.08,Junior,FALSE
4131-1,Freestyle Building Set / 3+,71,6.11,0.09,Junior,FALSE
4142-1,Freestyle Building Set / 4+,98,12.23,0.12,Junior,FALSE
4135-1,Freestyle Canister / 3+,121,14.85,0.12,Junior,FALSE
4147-1,Freestyle Canister / 4+,187,23.01,0.12,Junior,FALSE
4137-1,Freestyle Clearpack (S) / 3+,131,21.77,0.17,Junior,FALSE
4162-1,Freestyle Multibox / 6+,592,38.21,0.06,Junior,FALSE
4153-1,Freestyle Playcase (L) / 5+,687,58.09,0.08,Junior,FALSE
3092-1,Friendly Farm,10,13.15,1.32,Junior,FALSE
4968-1,Friendly Zoo,84,57.77,0.69,Junior,FALSE
5650-1,Front Loader,9,13.88,1.54,Junior,FALSE
3093-1,Fun Playground,24,26.31,1.1,Junior,FALSE
4627-1,Fun With Bricks,85,30.43,0.36,Junior,FALSE
5486-1,Fun With Duplo Bricks,90,32.56,0.36,Junior,FALSE
5583-1,Fun with Wheels,78,32.45,0.42,Junior,FALSE
4961-1,Fun Zoo,30,18.48,0.62,Junior,FALSE
3511-1,Funny Crocodile,16,12.66,0.79,Junior,FALSE
3512-1,Funny Giraffe,21,12.66,0.6,Junior,FALSE
3513-1,Funny Lion,23,12.66,0.55,Junior,FALSE
9237-1,Garage Set,44,31.01,0.7,Junior,FALSE
4659-1,Garbage Truck,12,15.49,1.29,Junior,FALSE
5637-1,Garbage Truck,12,18.45,1.54,Junior,FALSE
10519-1,Garbage Truck,16,19.99,1.25,Junior,FALSE
9236-1,Garden Set,37,31.01,0.84,Junior,FALSE
6171-1,Gas Station,45,30.43,0.68,Junior,FALSE
10557-1,Giant Tower,200,59.99,0.3,Junior,FALSE
4960-1,Giant Zoo,126,80.88,0.64,Junior,FALSE
4151-1,Girl's Freestyle Set / 5+,272,19.87,0.07,Junior,FALSE
4161-1,Girl's Freestyle Suitcase / 6+,283,30.57,0.11,Junior,FALSE
3263-1,Goozle,10,13.15,1.32,Junior,FALSE
3354-1,Gordon's Express,13,22.46,1.73,Junior,FALSE
8311-1,Gorm,12,12.95,1.08,Junior,TRUE
8314-1,Gorm Deluxe,14,19.43,1.39,Junior,TRUE
2671-1,Grand Prix Racing Team,7,22.66,3.24,Junior,FALSE
2792-1,Granny's House,44,78.6,1.79,Junior,FALSE
4987-1,Gravel Pit,40,44.93,1.12,Junior,FALSE
3519-1,Green Parrot,10,4.43,0.44,Junior,FALSE
6758-1,Grow Caterpillar Grow!,17,13.18,0.78,Junior,FALSE
3088-1,Growing Garden,19,13.15,0.69,Junior,FALSE
3047-1,Halloween Bucket,251,14.29,0.06,Junior,FALSE
4422-1,Handy Box,120,17.89,0.15,Junior,FALSE
3699-1,Happy Constructor,9,12.66,1.41,Junior,FALSE
2591-1,Happy Explorers Stack 'n' Learn,17,17.59,1.03,Junior,FALSE
2261-1,Happy Gardener,10,5.81,0.58,Junior,FALSE
2687-1,Harbour,47,75.48,1.61,Junior,FALSE
3300-1,Harold the Helicopter,7,11.56,1.65,Junior,FALSE
4973-1,Harvester,11,28.08,2.55,Junior,FALSE
2688-1,Health Center,34,72.31,2.13,Junior,FALSE
3588-1,Heavy Truck,18,19,1.06,Junior,FALSE
2909-1,Helicopter,18,20.29,1.13,Junior,FALSE
2925-1,Helicopter,20,38.21,1.91,Junior,FALSE
7841-1,Helicopter Rescue Unit,25,23.86,0.95,Junior,FALSE
4964-1,Highway Help,26,23.1,0.89,Junior,FALSE
4690-1,Horse Stable,29,12.33,0.43,Junior,FALSE
10500-1,Horse Stable,44,29.99,0.68,Junior,FALSE
4974-1,Horse Stables,36,44.93,1.25,Junior,FALSE
5648-1,Horse Stables,58,42.72,0.74,Junior,FALSE
9232-1,Hospital Set,100,76.34,0.76,Junior,FALSE
10586-1,Ice Cream Truck,11,14.99,1.36,Junior,FALSE
4258-1,Imagination Celebration Playscape,1010,50.02,0.05,Junior,FALSE
9795-1,Intelligent House Set,156,138.12,0.89,Junior,FALSE
3326-1,Intelligent Train Cargo,14,32.38,2.31,Junior,FALSE
3325-1,Intelligent Train Deluxe Set,90,129.51,1.44,Junior,FALSE
3335-1,Intelligent Train Starter Set,25,64.75,2.59,Junior,FALSE
3327-1,Intelligent Train Station,26,32.38,1.25,Junior,FALSE
3334-1,Intelligent Train Tunnel,10,16.84,1.68,Junior,FALSE
10514-1,Jake's Pirate Ship Bucky,56,39.99,0.71,Junior,FALSE
10512-1,Jake's Treasure Hunt,22,14.99,0.68,Junior,FALSE
5552-1,James at Knapford Station,32,23.86,0.75,Junior,FALSE
5547-1,James Celebrates Sodor Day,34,32.56,0.96,Junior,FALSE
41061-1,Jasmine's Exotic Palace,143,19.99,0.14,Junior,TRUE
8312-1,Jens,13,12.95,1,Junior,TRUE
5657-1,Jessie's Round-Up,18,16.01,0.89,Junior,FALSE
9320-1,Journey into Space,631,117.77,0.19,Junior,FALSE
2002-1,Jumbo Building Bag,80,28.58,0.36,Junior,FALSE
2003-1,Jumbo Building Bag,80,29.03,0.36,Junior,FALSE
8316-1,Kek Powerizer,9,77.7,8.63,Junior,TRUE
2788-1,Kitchen,19,23.58,1.24,Junior,FALSE
2756-1,Kitchen,20,31.88,1.59,Junior,FALSE
4775-1,Knight and Squire,19,12.33,0.65,Junior,FALSE
10568-1,Knight Tournament,16,9.99,0.62,Junior,FALSE
