set_num,set_name,piece_count,real_price,real_ppp,theme_cat,theme_lic
9210-1,Wild Animals Set,57,93.24,1.64,Junior,FALSE
3095-1,Wildlife Park,32,52.62,1.64,Junior,FALSE
5947-1,Winnie the Pooh's House,40,31.06,0.78,Junior,FALSE
5945-1,Winnie the Pooh's Picnic,13,10.35,0.8,Junior,FALSE
5839-1,World Grand Prix,35,41.42,1.18,Junior,FALSE
9222-1,World People Set,16,44.93,2.81,Junior,FALSE
3049-1,XL Idea Bucket,78,20.29,0.26,Junior,FALSE
3518-1,Yellow Duck,11,4.43,0.4,Junior,FALSE
5230-1,Yellow Tub,100,25.33,0.25,Junior,FALSE
4663-1,Zoo,48,23.86,0.5,Junior,FALSE
2862-1,Zoo Babies,8,8.58,1.07,Junior,FALSE
10502-1,Zoo Bus,19,29.99,1.58,Junior,FALSE
10576-1,Zoo Care,9,6.99,0.78,Junior,FALSE
10501-1,Zoo Friends,5,4.99,1,Junior,FALSE
2660-1,Zoo Nursery,5,8.98,1.8,Junior,FALSE
6172-1,Zoo Truck,8,20.28,2.54,Junior,FALSE
4971-1,Zoo Vehicles,37,28.88,0.78,Junior,FALSE
3122-1,1-2-3 ... Marie,17,19.73,1.16,Non-Standard Figs,FALSE
7600-1,Advent Calendar,215,22.46,0.1,Non-Standard Figs,FALSE
41016-1,Advent Calendar,213,29.99,0.14,Non-Standard Figs,FALSE
3184-1,Adventure Camper,309,35.5,0.11,Non-Standard Figs,FALSE
5831-1,Adventurous Puppies,15,6.58,0.44,Non-Standard Figs,FALSE
41071-1,Aira's Creative Workshop,98,9.99,0.1,Non-Standard Figs,FALSE
3671-1,Airport,49,49.89,1.02,Non-Standard Figs,FALSE
3681-1,Amusement Park,99,72.2,0.73,Non-Standard Figs,FALSE
41009-1,Andrea's Bedroom,75,9.99,0.13,Non-Standard Figs,FALSE
3938-1,Andrea's Bunny House,62,10.14,0.16,Non-Standard Figs,FALSE
41031-1,Andrea's Mountain Hut,119,9.99,0.08,Non-Standard Figs,FALSE
3932-1,Andrea's Stage,87,10.14,0.12,Non-Standard Figs,FALSE
3104-1,Ashley,7,11.08,1.58,Non-Standard Figs,FALSE
41074-1,Azari and the Magical Bakery,324,29.99,0.09,Non-Standard Figs,FALSE
7000-1,Baby Ankylosaurus,37,3.95,0.11,Non-Standard Figs,FALSE
7002-1,Baby Brachiosaurus,31,3.95,0.13,Non-Standard Figs,FALSE
7003-1,Baby Dimetrodon,20,3.95,0.2,Non-Standard Figs,FALSE
7001-1,Baby Iguanodon,23,3.95,0.17,Non-Standard Figs,FALSE
7501-1,Bangle Minis,32,5.07,0.16,Non-Standard Figs,FALSE
5836-1,Beautiful Baby Princess,23,5.18,0.23,Non-Standard Figs,FALSE
3200-1,Beauty Studio,31,23.95,0.77,Non-Standard Figs,FALSE
3792-1,Bedroom,14,7.25,0.52,Non-Standard Figs,FALSE
5876-1,Belville Hospital Ward,96,44.54,0.46,Non-Standard Figs,FALSE
2555-1,Belville Swing Set,47,12.86,0.27,Non-Standard Figs,FALSE
3108-1,Birthday Accessories,25,6.43,0.26,Non-Standard Figs,FALSE
7557-1,Blooms and Butterflies,14,3.58,0.26,Non-Standard Figs,FALSE
7579-1,Blossom Fairy,46,11.54,0.25,Non-Standard Figs,FALSE
3674-1,Bonny Bunny's New House,44,30.25,0.69,Non-Standard Figs,FALSE
6719-1,Brachiosaurus,25,13.15,0.53,Non-Standard Figs,FALSE
41046-1,Brown Bear's River,37,3.99,0.11,Non-Standard Figs,FALSE
40114-1,Buildable Jewellery Box,201,14.99,0.07,Non-Standard Figs,FALSE
41087-1,Bunny & Babies,47,4.99,0.11,Non-Standard Figs,FALSE
41022-1,Bunny's Hutch,37,4.99,0.13,Non-Standard Figs,FALSE
3187-1,Butterfly Beauty Shop,221,25.36,0.11,Non-Standard Figs,FALSE
3143-1,Camping Trip,60,58.03,0.97,Non-Standard Figs,FALSE
30103-1,Car,32,4.03,0.13,Non-Standard Figs,FALSE
3641-1,Car and Camper,22,14.18,0.64,Non-Standard Figs,FALSE
3148-1,Carla's Winter Camp,167,51.41,0.31,Non-Standard Figs,FALSE
5944-1,Cat Show,31,7.4,0.24,Non-Standard Figs,FALSE
41018-1,Cat's Playground,31,4.99,0.16,Non-Standard Figs,FALSE
3795-1,Catherine Cat in her Kitchen,28,7.25,0.26,Non-Standard Figs,FALSE
341-2,Catherine Cat's House and Mortimer Mouse,123,9.63,0.08,Non-Standard Figs,FALSE
3159-1,Celebration,41,6.76,0.16,Non-Standard Figs,FALSE
3103-1,Christian in Blue Blazer,9,11.08,1.23,Non-Standard Figs,FALSE
3158-1,Christian in Tough Wear,7,12.18,1.74,Non-Standard Figs,FALSE
3061-1,City Park Cafe,222,35.5,0.16,Non-Standard Figs,FALSE
7575-1,Clikits Advent Calendar,24,18.5,0.77,Non-Standard Figs,FALSE
7537-1,Cool Carry-All Set,74,17.89,0.24,Non-Standard Figs,FALSE
7509-1,Cool Jewels 'n' Clips,70,8.86,0.13,Non-Standard Figs,FALSE
7518-1,Cool Room Catchers,111,12.66,0.11,Non-Standard Figs,FALSE
7517-1,Cool Room D_cor,131,12.66,0.1,Non-Standard Figs,FALSE
7519-1,Cool Room Frames,111,12.66,0.11,Non-Standard Figs,FALSE
7516-1,Cool Starry Jewels,52,8.63,0.17,Non-Standard Figs,FALSE
10117-1,Daisy Accessories,50,6.17,0.12,Non-Standard Figs,FALSE
10082-1,Daisy Birthday Pack,70,7.4,0.11,Non-Standard Figs,FALSE
7528-1,Designer Desk Set,69,16.03,0.23,Non-Standard Figs,FALSE
30102-1,Desk,26,4.03,0.15,Non-Standard Figs,FALSE
5940-1,Doll House,203,73.99,0.36,Non-Standard Figs,FALSE
41015-1,Dolphin Cruiser,612,69.99,0.11,Non-Standard Figs,FALSE
5845-1,Dolphin Show,50,15.72,0.31,Non-Standard Figs,FALSE
5844-1,Dolphin Windsurfer,16,7.15,0.45,Non-Standard Figs,FALSE
41006-1,Downtown Bakery,253,29.99,0.12,Non-Standard Figs,FALSE
3270-1,Dream Cottage,120,110.31,0.92,Non-Standard Figs,FALSE
3151-1,Emma on the Move,65,20.29,0.31,Non-Standard Figs,FALSE
3123-1,Emma's Chill-Out Kitchen,58,26.31,0.45,Non-Standard Figs,FALSE
3936-1,Emma's Fashion Design Studio,79,10.14,0.13,Non-Standard Figs,FALSE
30112-1,Emma's Flower Stand,33,4.99,0.15,Non-Standard Figs,FALSE
3186-1,Emma's Horse Trailer,218,25.36,0.12,Non-Standard Figs,FALSE
41095-1,Emma's House,706,69.99,0.1,Non-Standard Figs,FALSE
41002-1,Emma's Karate Class,93,9.99,0.11,Non-Standard Figs,FALSE
41028-1,Emma's Lifeguard Post,78,9.99,0.13,Non-Standard Figs,FALSE
3931-1,Emma's Splash Pool,43,6.08,0.14,Non-Standard Figs,FALSE
41013-1,Emma's Sports Car,159,14.99,0.09,Non-Standard Figs,FALSE
5861-1,Fairy Island,101,35.46,0.35,Non-Standard Figs,FALSE
41076-1,Farran and the Crystal Hollow,175,14.99,0.09,Non-Standard Figs,FALSE
41023-1,Fawn's Forest,35,4.99,0.14,Non-Standard Figs,FALSE
3682-1,Fire Station,149,81.51,0.55,Non-Standard Figs,FALSE
41032-1,First Aid Jungle Bike,156,14.99,0.1,Non-Standard Figs,FALSE
3660-1,Fisherman's Wharf,25,23.82,0.95,Non-Standard Figs,FALSE
7542-1,Flashin' Fashion Frame,50,23.86,0.48,Non-Standard Figs,FALSE
5837-1,Flora's Bubbling Bath,31,9.07,0.29,Non-Standard Figs,FALSE
3679-1,Flour Mill and Shop,73,56.86,0.78,Non-Standard Figs,FALSE
5862-1,Flower Fairy Party,161,60.78,0.38,Non-Standard Figs,FALSE
7505-1,Flowered Hair Bands,16,4.93,0.31,Non-Standard Figs,FALSE
3110-1,Four Animal Friends,16,10,0.63,Non-Standard Figs,FALSE
7540-1,Friends 4-Ever Jewels & More,66,11.93,0.18,Non-Standard Figs,FALSE
41040-1,Friends Advent Calendar,228,29.99,0.13,Non-Standard Figs,FALSE
3316-1,Friends Advent Calendar,193,35.5,0.18,Non-Standard Figs,FALSE
850581-1,Friends Brick Calendar,140,14.99,0.11,Non-Standard Figs,FALSE
40080-1,Friends Pencil Holder,138,14.99,0.11,Non-Standard Figs,FALSE
7504-1,Friendship Frame / Mirror,15,4.93,0.33,Non-Standard Figs,FALSE
7541-1,Friendship Frames & Notes,70,11.93,0.17,Non-Standard Figs,FALSE
3118-1,Fun Fashion Boutique,116,77.18,0.67,Non-Standard Figs,FALSE
5830-1,Fun-Day Sundaes,29,16.81,0.58,Non-Standard Figs,FALSE
5840-1,Garden Playmates,87,30.19,0.35,Non-Standard Figs,FALSE
7524-1,Glamour Girl Purse,18,6.17,0.34,Non-Standard Figs,FALSE
7535-1,Groovy Grape Jewels-n-More,67,9.54,0.14,Non-Standard Figs,FALSE
3715-1,Hannah's Flower Stand,14,4.87,0.35,Non-Standard Figs,FALSE
3149-1,Happy Home,265,135.28,0.51,Non-Standard Figs,FALSE
10116-1,Heart Accessories,50,6.17,0.12,Non-Standard Figs,FALSE
10081-1,Heart Birthday Pack,70,7.4,0.11,Non-Standard Figs,FALSE
41008-1,Heartlake City Pool,423,39.99,0.09,Non-Standard Figs,FALSE
3942-1,Heartlake Dog Show,183,20.28,0.11,Non-Standard Figs,FALSE
3063-1,Heartlake Flying Club,195,20.28,0.1,Non-Standard Figs,FALSE
41093-1,Heartlake Hair Salon,318,29.99,0.09,Non-Standard Figs,FALSE
41005-1,Heartlake High,487,49.99,0.1,Non-Standard Figs,FALSE
41057-1,Heartlake Horse Show,355,39.99,0.11,Non-Standard Figs,FALSE
41097-1,Heartlake Hot Air Balloon,254,29.99,0.12,Non-Standard Figs,FALSE
41035-1,Heartlake Juice Bar,277,29.99,0.11,Non-Standard Figs,FALSE
41094-1,Heartlake Lighthouse,473,39.99,0.08,Non-Standard Figs,FALSE
41056-1,Heartlake News Van,278,24.99,0.09,Non-Standard Figs,FALSE
41007-1,Heartlake Pet Salon,242,29.99,0.12,Non-Standard Figs,FALSE
41058-1,Heartlake Shopping Mall,1120,109.99,0.1,Non-Standard Figs,FALSE
3189-1,Heartlake Stables,401,50.72,0.13,Non-Standard Figs,FALSE
3188-1,Heartlake Vet,343,45.65,0.13,Non-Standard Figs,FALSE
41020-1,Hedgehog's Hideaway,34,4.99,0.15,Non-Standard Figs,FALSE
7523-1,Hip Hair Set,16,5.96,0.37,Non-Standard Figs,FALSE
10135-1,Holiday Decoration Kit,283,43.16,0.15,Non-Standard Figs,FALSE
7574-1,Holiday Gift Calendar,115,23.86,0.21,Non-Standard Figs,FALSE
7587-1,Horse Jumping,54,21.63,0.4,Non-Standard Figs,FALSE
3144-1,Horse Stable,35,23.77,0.68,Non-Standard Figs,FALSE
7585-1,Horse Stable,209,43.27,0.21,Non-Standard Figs,FALSE
30106-1,Ice Cream Stand,34,4.99,0.15,Non-Standard Figs,FALSE
3124-1,Indie's Stable,95,65.77,0.69,Non-Standard Figs,FALSE
5943-1,Interior Designer,96,12.33,0.13,Non-Standard Figs,FALSE
7508-1,Jewels 'n' Bands,78,8.86,0.11,Non-Standard Figs,FALSE
7507-1,Jewels 'n' Rings,78,8.86,0.11,Non-Standard Figs,FALSE
850967-1,Jungle Accessory Set,39,14.99,0.38,Non-Standard Figs,FALSE
30115-1,Jungle Boat,31,4.99,0.16,Non-Standard Figs,FALSE
41036-1,Jungle Bridge Rescue,365,29.99,0.08,Non-Standard Figs,FALSE
41033-1,Jungle Falls Rescue,183,19.99,0.11,Non-Standard Figs,FALSE
41038-1,Jungle Rescue Base,472,59.99,0.13,Non-Standard Figs,FALSE
41059-1,Jungle Tree Sanctuary,320,29.99,0.09,Non-Standard Figs,FALSE
5812-1,King,6,9.79,1.63,Non-Standard Figs,FALSE
263-1,Kitchen,257,42.53,0.17,Non-Standard Figs,FALSE
3115-1,Kitchen,41,19.65,0.48,Non-Standard Figs,FALSE
3243-1,Kitchen,92,38.46,0.42,Non-Standard Figs,FALSE
3654-1,Lisa Lamb's House,32,24.14,0.75,Non-Standard Figs,FALSE
41089-1,Little Foal,43,4.99,0.12,Non-Standard Figs,FALSE
5859-1,Little Garden Fairy,51,11.4,0.22,Non-Standard Figs,FALSE
5860-1,Love 'N' Lullabies,52,39.3,0.76,Non-Standard Figs,FALSE
41044-1,Macaw's Fountain,39,3.99,0.1,Non-Standard Figs,FALSE
30105-1,Mailbox,41,4.05,0.1,Non-Standard Figs,FALSE
3134-1,Marie in Happy Flowers,9,11.19,1.24,Non-Standard Figs,FALSE
7503-1,Memo Minis,24,5.07,0.21,Non-Standard Figs,FALSE
3668-1,Merry-Go-Round with Ticket Booth,42,37.73,0.9,Non-Standard Figs,FALSE
3939-1,Mia's Bedroom,85,10.14,0.12,Non-Standard Figs,FALSE
41027-1,Mia's Lemonade Stand,112,9.99,0.09,Non-Standard Figs,FALSE
41001-1,Mia's Magic Tricks,90,9.99,0.11,Non-Standard Figs,FALSE
3934-1,Mia's Puppy House,64,10.14,0.16,Non-Standard Figs,FALSE
41091-1,Mia's Roadster,187,14.99,0.08,Non-Standard Figs,FALSE
3644-1,Mike Monkey and his Taxi,10,13.92,1.39,Non-Standard Figs,FALSE
5801-1,Millimy the Fairy,16,4.19,0.26,Non-Standard Figs,FALSE
40112-1,Model Catwalk,144,14.99,0.1,Non-Standard Figs,FALSE
7536-1,Modern Magnetic Room Decor,72,15.51,0.22,Non-Standard Figs,FALSE
6721-1,Mosasaurus,26,13.15,0.51,Non-Standard Figs,FALSE
3633-1,Motor Boat with Walter Walrus,13,11.16,0.86,Non-Standard Figs,FALSE
7532-1,My Special Storage Space,115,43.16,0.38,Non-Standard Figs,FALSE
7526-1,My Starry Notes,27,6.17,0.23,Non-Standard Figs,FALSE
41073-1,Naida's Epic Adventure Ship,312,29.99,0.1,Non-Standard Figs,FALSE
41072-1,Naida's Spa Secret,249,19.99,0.08,Non-Standard Figs,FALSE
3241-1,Nursery,54,31.93,0.59,Non-Standard Figs,FALSE
3155-1,Olivia in Smooth Dress,6,12.18,2.03,Non-Standard Figs,FALSE
41010-1,Olivia's Beach Buggy,94,9.99,0.11,Non-Standard Figs,FALSE
41090-1,Olivia's Garden Pool,82,9.99,0.12,Non-Standard Figs,FALSE
3315-1,Olivia's House,695,76.09,0.11,Non-Standard Figs,FALSE
41030-1,Olivia's Ice Cream Bike,98,9.99,0.1,Non-Standard Figs,FALSE
3933-1,Olivia's Invention Workshop,81,10.14,0.13,Non-Standard Figs,FALSE
41003-1,Olivia's Newborn Foal,70,9.99,0.14,Non-Standard Figs,FALSE
3937-1,Olivia's Speedboat,65,10.14,0.16,Non-Standard Figs,FALSE
3065-1,Olivia's Tree House,191,20.28,0.11,Non-Standard Figs,FALSE
41045-1,Orangutan's Banana Tree,37,3.99,0.11,Non-Standard Figs,FALSE
3718-1,Outdoor Cafe with Bonnie Bunny,6,4.78,0.8,Non-Standard Figs,FALSE
3673-1,Paddle Steamer,61,43.3,0.71,Non-Standard Figs,FALSE
5856-1,Paprika and the Mischievous Monkey,51,11.4,0.22,Non-Standard Figs,FALSE
41024-1,Parrot's Perch,32,4.99,0.16,Non-Standard Figs,FALSE
3796-1,Patricia Piglet at her Bakery,30,7.12,0.24,Non-Standard Figs,FALSE
41043-1,Penguin's Playground,46,3.99,0.09,Non-Standard Figs,FALSE
7502-1,Photo Minis,30,5.07,0.17,Non-Standard Figs,FALSE
7520-1,Pillow D_cor 'N' More,104,25.33,0.24,Non-Standard Figs,FALSE
7583-1,Playful Puppy,83,14.06,0.17,Non-Standard Figs,FALSE
3152-1,Playroom for the Baby Thomas,81,20.29,0.25,Non-Standard Figs,FALSE
3794-1,Police Motorcycle,14,7.25,0.52,Non-Standard Figs,FALSE
3643-1,Police Van,9,14.18,1.58,Non-Standard Figs,FALSE
41021-1,Poodle's Little Palace,46,4.99,0.11,Non-Standard Figs,FALSE
5942-1,Pop Studio,102,28.35,0.28,Non-Standard Figs,FALSE
7527-1,Pretty in Pink Beauty Set,136,23.86,0.18,Non-Standard Figs,FALSE
7533-1,Pretty In Pink Jewels-n-More,67,9.54,0.14,Non-Standard Figs,FALSE
5870-1,Pretty Playland,92,66.02,0.72,Non-Standard Figs,FALSE
7521-1,Pretty Punch Activity Set,30,25.33,0.84,Non-Standard Figs,FALSE
5890-1,Pretty Wishes Playhouse,213,155.62,0.73,Non-Standard Figs,FALSE
5811-1,Prince Justin,5,9.79,1.96,Non-Standard Figs,FALSE
5802-1,Princess Rosaline,8,9.79,1.22,Non-Standard Figs,FALSE
5805-1,Princess Rosaline's Room,70,34.96,0.5,Non-Standard Figs,FALSE
5880-1,Prize Pony Stables,119,84.88,0.71,Non-Standard Figs,FALSE
3150-1,Puppy Playground,35,10.82,0.31,Non-Standard Figs,FALSE
41088-1,Puppy Training,65,4.99,0.08,Non-Standard Figs,FALSE
41025-1,Puppy's Playhouse,39,4.99,0.13,Non-Standard Figs,FALSE
5843-1,Queen Rose and the Little Prince Charming,71,34.97,0.49,Non-Standard Figs,FALSE
41004-1,Rehearsal Stage,198,19.99,0.1,Non-Standard Figs,FALSE
5941-1,Riding School,179,57.96,0.32,Non-Standard Figs,FALSE
5833-1,Rosita's Wonderful Stable,40,22.36,0.56,Non-Standard Figs,FALSE
5827-1,Royal Coach,83,36.53,0.44,Non-Standard Figs,FALSE
7582-1,Royal Summer Palace,167,67.4,0.4,Non-Standard Figs,FALSE
5857-1,Safran's Amazing Bazaar,93,25.33,0.27,Non-Standard Figs,FALSE
3625-1,Sandy Seagull's Aeroplane,8,11.37,1.42,Non-Standard Figs,FALSE
3117-1,SCALA Flashy Pool,83,54.31,0.65,Non-Standard Figs,FALSE
3670-1,Service Station,52,44.84,0.86,Non-Standard Figs,FALSE
7558-1,Shells and Starfish,14,3.58,0.26,Non-Standard Figs,FALSE
30101-1,Skateboarder,28,5.06,0.18,Non-Standard Figs,FALSE
5961-1,Snow Queen,59,23.86,0.4,Non-Standard Figs,FALSE
7559-1,Sports and Stars,14,3.58,0.26,Non-Standard Figs,FALSE
41017-1,Squirrel's Tree House,41,4.99,0.12,Non-Standard Figs,FALSE
10118-1,Star Accessories,50,6.17,0.12,Non-Standard Figs,FALSE
10083-1,Star Birthday Pack,70,7.4,0.11,Non-Standard Figs,FALSE
7506-1,Starry Bangles & Rings,9,4.93,0.55,Non-Standard Figs,FALSE
7530-1,Starry Decoration Set,70,16.03,0.23,Non-Standard Figs,FALSE
5825-1,Stella and the Fairy,54,17.59,0.33,Non-Standard Figs,FALSE
5000245-1,Stephanie,5,5.06,1.01,Non-Standard Figs,FALSE
41037-1,Stephanie's Beach House,369,39.99,0.11,Non-Standard Figs,FALSE
3183-1,Stephanie's Cool Convertible,130,15.21,0.12,Non-Standard Figs,FALSE
41029-1,Stephanie's New Born Lamb,78,9.99,0.13,Non-Standard Figs,FALSE
3930-1,Stephanie's Outdoor Bakery,45,7.09,0.16,Non-Standard Figs,FALSE
3935-1,Stephanie's Pet Patrol,73,10.14,0.14,Non-Standard Figs,FALSE
41092-1,Stephanie's Pizzeria,87,9.99,0.11,Non-Standard Figs,FALSE
41011-1,Stephanie's Soccer Practice,80,9.99,0.12,Non-Standard Figs,FALSE
7515-1,Striped Sunny Jewels,48,8.63,0.18,Non-Standard Figs,FALSE
7534-1,Stylin' Citrus Jewels-n-More,67,9.54,0.14,Non-Standard Figs,FALSE
7529-1,Stylin' Stationery Set,72,16.03,0.22,Non-Standard Figs,FALSE
6722-1,Styracosaurus,19,13.15,0.69,Non-Standard Figs,FALSE
41034-1,Summer Caravan,297,29.99,0.1,Non-Standard Figs,FALSE
3121-1,Summer Day Out,20,10.52,0.53,Non-Standard Figs,FALSE
3185-1,Summer Riding Camp,1112,101.45,0.09,Non-Standard Figs,FALSE
41026-1,Sunshine Harvest,233,19.99,0.09,Non-Standard Figs,FALSE
7586-1,Sunshine Home,450,86.55,0.19,Non-Standard Figs,FALSE
3119-1,Sunshine Home,168,137.2,0.82,Non-Standard Figs,FALSE
7525-1,Sunshine Picture Stand,22,6.17,0.28,Non-Standard Figs,FALSE
41039-1,Sunshine Ranch,721,69.99,0.1,Non-Standard Figs,FALSE
7514-1,Sweet Dreamy Jewels,48,8.63,0.18,Non-Standard Figs,FALSE
3716-1,Telephone,8,4.87,0.61,Non-Standard Figs,FALSE
5848-1,The Belville Luxury Cruiser,223,62.88,0.28,Non-Standard Figs,FALSE
41075-1,The Elves' Treetop Hideaway,505,49.99,0.1,Non-Standard Figs,FALSE
5834-1,The Enchanted Garden,103,55.25,0.54,Non-Standard Figs,FALSE
5808-1,The Enchanted Palace,210,83.9,0.4,Non-Standard Figs,FALSE
3631-1,The Fabuland Big Band Peter Pig and Gabriel Gorilla,30,11.37,0.38,Non-Standard Figs,FALSE
5858-1,The Golden Palace,173,69.65,0.4,Non-Standard Figs,FALSE
5823-1,The Good Fairy's Bedroom,36,8.12,0.23,Non-Standard Figs,FALSE
5824-1,The Good Fairy's House,66,10.82,0.16,Non-Standard Figs,FALSE
5960-1,The Mermaid Castle,237,83.5,0.35,Non-Standard Figs,FALSE
5963-1,The Princess and the Pea,55,23.84,0.43,Non-Standard Figs,FALSE
5826-1,The Queen's Room,79,23,0.29,Non-Standard Figs,FALSE
5850-1,The Royal Crystal Palace,149,64.75,0.43,Non-Standard Figs,FALSE
5807-1,The Royal Stable,64,41.95,0.66,Non-Standard Figs,FALSE
7580-1,The Skating Princess,26,11.22,0.43,Non-Standard Figs,FALSE
5962-1,The Tinderbox,82,23.86,0.29,Non-Standard Figs,FALSE
7531-1,The Ultimate Jewelry Collection,150,24.66,0.16,Non-Standard Figs,FALSE
5838-1,The Wicked Madam Frost,38,12.95,0.34,Non-Standard Figs,FALSE
5964-1,Thumbelina,49,7.16,0.15,Non-Standard Figs,FALSE
41042-1,Tiger's Beautiful Temple,42,3.99,0.1,Non-Standard Figs,FALSE
7510-1,Trendy Tote Hot Pink,89,19,0.21,Non-Standard Figs,FALSE
7512-1,Trendy Tote Sky Blue,94,19,0.2,Non-Standard Figs,FALSE
7511-1,Trendy Tote Tangerine,94,19,0.2,Non-Standard Figs,FALSE
41019-1,Turtle's Little Oasis,33,4.99,0.15,Non-Standard Figs,FALSE
41041-1,Turtle's Little Paradise,43,3.99,0.09,Non-Standard Figs,FALSE
6720-1,Tyrannosaurus Rex,23,13.15,0.57,Non-Standard Figs,FALSE
7513-1,Ultimate Design Studio,281,37.99,0.14,Non-Standard Figs,FALSE
7578-1,Ultimate Princesses,149,57.77,0.39,Non-Standard Figs,FALSE
5842-1,Vanilla's Frosty Sleighride,36,22.02,0.61,Non-Standard Figs,FALSE
5832-1,Vanilla's Magic Tea Party,14,11.84,0.85,Non-Standard Figs,FALSE
5810-1,Vanity Fun,23,8.41,0.37,Non-Standard Figs,FALSE
41086-1,Vet Ambulance,89,9.99,0.11,Non-Standard Figs,FALSE
41085-1,Vet Clinic,192,19.99,0.1,Non-Standard Figs,FALSE
41000-1,Water Scooter Fun,28,6.99,0.25,Non-Standard Figs,FALSE
7581-1,Winter Royal Stables,86,56.17,0.65,Non-Standard Figs,FALSE
7577-1,Winter Wonder Palace,168,80.88,0.48,Non-Standard Figs,FALSE
30204-1,Wish Fountain,44,3.99,0.09,Non-Standard Figs,FALSE
5804-1,Witch's Cottage,38,13.98,0.37,Non-Standard Figs,FALSE
3714-1,Workman and Barrow,6,4.87,0.81,Non-Standard Figs,FALSE
8286-1,3-In-1 Car,734,124.72,0.17,Non-Standard Technical,FALSE
8435-1,4WD,763,55.5,0.07,Non-Standard Technical,FALSE
8279-1,4WD X-Track,449,94.7,0.21,Non-Standard Technical,FALSE
9398-1,4x4 Crawler,1327,202.92,0.15,Non-Standard Technical,FALSE
41999-1,4x4 Crawler Exclusive Edition,1585,199.99,0.13,Non-Standard Technical,FALSE
8466-1,4X4 Off-Roader,1102,157.85,0.14,Non-Standard Technical,FALSE
8720-1,9V Motor Set,57,64.17,1.13,Non-Standard Technical,FALSE
4206-1,9V Train Switching Track Collection,27,51.99,1.93,Non-Standard Technical,FALSE
2159-1,9V Train Track Starter Collection,24,34.65,1.44,Non-Standard Technical,FALSE
8444-1,Air Enforcer,309,41.95,0.14,Non-Standard Technical,FALSE
8868-1,Air Tech Claw Rig,954,230.8,0.24,Non-Standard Technical,FALSE
8434-1,Aircraft,445,43.16,0.1,Non-Standard Technical,FALSE
8505-1,Amazon,36,8.39,0.23,Non-Standard Technical,FALSE
42038-1,Arctic Truck,913,84.99,0.09,Non-Standard Technical,FALSE
8826-1,ATX Sport Cycle,95,16.6,0.17,Non-Standard Technical,FALSE
8858-2,Auto Engines,460,195.07,0.42,Non-Standard Technical,FALSE
8455-1,Back-Hoe,704,126.63,0.18,Non-Standard Technical,FALSE
8069-1,Backhoe Loader,609,62.13,0.1,Non-Standard Technical,FALSE
8479-1,Barcode Multi-Set,1280,238.04,0.19,Non-Standard Technical,FALSE
8241-1,Battle Cars,115,11.84,0.1,Non-Standard Technical,FALSE
8252-1,Beach Buster,183,27.97,0.15,Non-Standard Technical,FALSE
1268-1,Bike Blaster,28,2.8,0.1,Non-Standard Technical,FALSE
8236-1,Bike Burner,60,8.12,0.14,Non-Standard Technical,FALSE
42026-1,Black Champion Racer,137,19.99,0.15,Non-Standard Technical,FALSE
8425-1,Black Hawk,465,73.5,0.16,Non-Standard Technical,FALSE
3571-1,Blackmobile,142,28.58,0.2,Non-Standard Technical,FALSE
2129-1,Blast-Off Dragster,63,10.16,0.16,Non-Standard Technical,FALSE
8523-1,Blaster,88,20.29,0.23,Non-Standard Technical,FALSE
4536-1,Blue Hopper Car,166,25.66,0.15,Non-Standard Technical,FALSE
8062-1,Briefcase Set,403,106.89,0.27,Non-Standard Technical,FALSE
8071-1,Bucket Truck,593,51.77,0.09,Non-Standard Technical,FALSE
8048-1,Buggy,314,42.72,0.14,Non-Standard Technical,FALSE
42028-1,Bulldozer,617,49.99,0.08,Non-Standard Technical,FALSE
8205-1,Bungee Blaster,63,10.16,0.16,Non-Standard Technical,FALSE
2854-1,Bungee Chopper,72,10,0.14,Non-Standard Technical,FALSE
8202-1,Bungee Chopper,72,10,0.14,Non-Standard Technical,FALSE
10133-1,Burlington Northern Santa Fe (BNSF) Locomotive,407,47.71,0.12,Non-Standard Technical,FALSE
10014-1,Caboose,170,19.73,0.12,Non-Standard Technical,FALSE
8810-1,Cafe Racer,80,17.1,0.21,Non-Standard Technical,FALSE
8860-1,Car Chassis,668,166.8,0.25,Non-Standard Technical,FALSE
4544-1,Car Transport Wagon with Car,143,29.47,0.21,Non-Standard Technical,FALSE
4552-1,Cargo Crane,282,58.85,0.21,Non-Standard Technical,FALSE
42025-1,Cargo Plane,1297,139.99,0.11,Non-Standard Technical,FALSE
4559-1,Cargo Railway,842,193.02,0.23,Non-Standard Technical,FALSE
4555-1,Cargo Station,389,100.89,0.26,Non-Standard Technical,FALSE
42031-1,Cherry Picker,155,12.99,0.08,Non-Standard Technical,FALSE
8292-1,Cherry Picker,726,64.91,0.09,Non-Standard Technical,FALSE
8232-1,Chopper Force,289,36.29,0.13,Non-Standard Technical,FALSE
8422-1,Circuit Shock Racer,315,50.44,0.16,Non-Standard Technical,FALSE
65537-1,Classic Freight Train,608,98.66,0.16,Non-Standard Technical,FALSE
3225-1,Classic Train,281,94.33,0.34,Non-Standard Technical,FALSE
4547-1,Club Car,293,60.46,0.21,Non-Standard Technical,FALSE
8230-1,Coastal Cop Buggy,175,32.66,0.19,Non-Standard Technical,FALSE
8274-1,Combine Harvester,1025,78.64,0.08,Non-Standard Technical,FALSE
8047-1,Compact Excavator,252,26.7,0.11,Non-Standard Technical,FALSE
